annihilate,annihilates,annihilated,annihilating
acquire,acquires,acquired,acquiring
bless,blesses,blessed,blessing
blight,blights,blighted,blighting
break,breaks,breaked,breaking
build,builds,builded,building
butcher,butchers,butchered,butchering
capture,captures,captured,capturing
change,changes,changed,changing
connect,connects,connected,connecting
construct,constructs,constructed,constructing
contain,contains,contained,containning
conquer,conquers,conquered,conquering
corrupt,corrupts,corrupted,corrupting
crack,cracks,cracked,cracking
create,creates,created,creating
cure,cures,cured,curing
curse,curses,cursed,cursing
defeat,defeats,defeated,defeating
destroy,destroys,destroied,destroying
divide,divides,divided,dividing
forge,forges,forged,forging
free,frees,fred,freeing
give,gives,gived,giving
heal,heals,healed,healing
imprison,imprisons,imprisoned,imprisonning
isolate,isolates,isolated,isolating
kill,kills,killed,killing
liberate,liberates,liberated,liberating
maintain,maintains,maintained,maintainning
manipulate,manipulates,manipulated,manipulating
make,makes,maked,making
murder,murders,murdered,murdering
obliterate,obliterates,obliterated,obliterating
preserve,preserves,preserved,preserving
release,releases,released,releasing
rescue,rescues,rescued,rescuing
restore,restores,restored,restoring
resurrect,resurrects,resurrected,resurrecting
revive,revives,revived,reviving
ruin,ruins,ruined,ruinning
seal,seals,sealed,sealing
shatter,shatters,shattered,shattering
slaughter,slaughters,slaughtered,slaughtering
slay,slays,slaied,slaying
split,splits,splited,spliting
spoil,spoils,spoiled,spoiling
steal,steals,stealed,stealing
take,takes,taked,taking
taint,taints,tainted,tainting
trap,traps,traped,trapping
unite,unites,united,uniting
