bend,bends,bended,bending
bounce,bounces,bounced,bouncing
chase,chases,chased,chasing
crawl,crawls,crawled,crawling
dance,dances,danced,dancing
dive,dives,dived,diving
drop,drops,dropped,dropping
duck,ducks,ducked,ducking
flee,flees,fled,fleeing
flip,flips,flipped,flipping
float,floats,floated,floating
flow,flows,flowed,flowing
fly,flies,flown,flying
glide,glides,glided,gliding
hop,hops,hoped,hopping
leap,leaps,leaped,leaping
march,marches,marched,marching
move,moves,moved,moving
pass,passes,passed,passing
rise,rises,rose,rising
roam,roams,roamed,roaming
roll,rolls,rolled,rolling
rotate,rotates,rotated,rotating
run,runs,run,running
shake,shakes,shook,shaking
shuffle,shuffles,shuffled,shuffling
skip,skips,skipped,skipping
slide,slides,slid,sliding
spin,spins,spun,spinning
sprint,sprints,sprinted,sprinting
swim,swims,swam,swimming
swing,swings,swung,swinging
travel,travels,travelled,travelling
tumble,tumbles,tumbled,tumbling
twist,twists,twisted,twisting
walk,walks,walked,walking
wander,wanders,wandered,wandering
